,ticker,mutual_holders,inst_holders,avg_vol,beta,mcap
97,VOC,0.0058,0.0972,147050,1.620588,115090000.0
98,FRC,0.1788,0.4162999999999999,1033050,1.124019,27061430272.0
99,EHTH,0.1737999999999999,0.5703999999999999,391780,0.080882,229840352.0
100,HCII,0.0071,0.3267,58600,,306874976.0
101,NTRSO,0.2218,0.0006,25480,1.12598,
102,BSM,0.0069999999999999,0.1022999999999999,572990,1.265686,2902544128.0
103,MPLX,0.0553,0.1697,1983370,1.670588,30279643136.0
104,TBCPU,0.0115,0.1774,16200,,
105,KACL,0.0013,0.1115999999999999,26510,,
106,SMHI,0.2042999999999999,0.4451000000000001,62620,1.217249,138453408.0
107,KF,0.0099999999999999,0.7218,5200,1.010294,125942592.0
108,WTM,0.2213,1.0307,20560,0.463725,3749760512.0
109,NVOS,0.0122,0.0179,8150,-0.286865,54425688.0
110,JCTCF,0.0266999999999999,0.1499,3230,0.330392,22808246.0
111,FGEN,0.2784,0.5192999999999999,726080,0.788725,1143113088.0
112,BCSAU,0.0063,0.3938,204,,
113,CWCO,0.0701,0.3317,69520,0.244117,215231392.0
114,PLBY,0.0523999999999999,0.5456000000000001,1001720,,281799168.0
115,EGHT,0.2298,0.659,1926340,1.086764,633155520.0
116,ATAI,0.0184,0.0635,685180,,690884352.0
117,ZIMV,0.0003,0.2635999999999999,573820,,
118,KAMN,0.266,0.6268999999999999,202200,1.248529,833278016.0
119,SNDA,0.0258,0.6057999999999999,7460,1.928431,139227552.0
120,LX,0.0494,0.2414,971900,0.777963,407918304.0
121,NUVL,0.0793,0.8866999999999998,243610,,878768832.0
122,COHN,0.0298,0.0406,3500,1.015196,18009838.0
123,KPTI,0.1596,0.4275,2401590,-0.32647,396624384.0
124,PI,0.1386,0.5117999999999999,318750,2.384313,1647474048.0
125,TBPH,0.1195,0.6166,395050,0.860784,680236224.0
126,PCH,0.2147,0.4983000000000001,472450,1.228921,3147096320.0
127,FWONA,0.1857,0.5118999999999999,126560,1.229901,13661423616.0
128,AEM,0.0746999999999999,0.1827,2432620,0.861274,11060596736.0
129,BMI,0.2364,0.6248999999999999,120010,0.755392,2373621248.0
130,AVEO,0.0527,0.4076999999999999,389310,1.156372,246461584.0
131,NPO,0.2817999999999999,0.5449,149740,1.442156,1638699776.0
132,KRYS,0.193,0.4903999999999999,207000,0.956637,1820394112.0
133,CVLY,0.1641,0.3542,12070,,216149616.0
134,IQ,0.0576,0.4327999999999999,8097540,0.79618,3322889728.0
135,MNOV,0.0522,0.1302,21300,1.254901,127021880.0
136,USAK,0.1053,0.6857000000000001,919730,1.85147,276305856.0
137,BROG,0.0003,0.0298,810,-0.502689,835608512.0
138,ULTA,0.1439,0.7968999999999998,739140,1.65196,20643608576.0
139,BKEPP,0.0374,0.046,159830,2.147549,361105984.0
140,PEBO,0.1529,0.3222999999999999,151690,0.819607,754875776.0
141,CULP,0.1591,0.5090999999999999,82040,1.060294,53844776.0
142,BANC,0.1872,0.5982,362470,1.511274,1140991232.0
143,JILL,0.0715,0.1702,48980,1.654411,171094944.0
144,CUK,0.0012,0.1334,4341020,2.07598,9575725056.0
145,JAQC,0.0133,0.563,2700,,196479808.0
146,PWSC,0.0413999999999999,0.5759,380820,,2664538880.0
147,NDACU,0.0007,0.0819999999999999,6500,,
148,OXUS,0.0069,0.4561,20350,,218624992.0
149,BRW,0.0403,0.2584,69510,,677920192.0
150,NWS,0.0545,0.2548999999999999,689460,1.335784,9442792448.0
151,EDR,0.0845,0.7309,647090,,5786650112.0
152,YTRA,0.0006,1.0224,104400,1.754411,147103712.0
153,ALOT,0.1703999999999999,0.4021,6970,0.721078,85698320.0
154,GOLD,0.1137,0.2633,17682100,0.031625,30568202240.0
155,PCPC,0.0189,0.4074,28960,,436738560.0
156,JOF,0.0436,0.7297,20990,0.692647,180770288.0
157,BRIV,0.0133,0.4078,1960,,216084368.0
158,CADL,0.1063999999999999,0.2408,5870,,100414304.0
159,ESRT,0.2456,0.561,1261040,0.985294,1216017664.0
160,KREF,0.1517999999999999,0.5510000000000002,857840,0.680417,1083264768.0
161,EMLDU,0.0251,0.4712,310,,
162,AVGO,0.2229,0.4899,1824150,1.02696,205896122368.0
163,LASR,0.2514,0.5599,383480,2.350691,468193600.0
164,SSBI,0.081,0.1781,4070,0.569607,102109704.0
165,UBX,0.0564,0.3203,391450,0.281673,34634520.0
166,CMPS,0.0229,0.1301,276330,,567961600.0
167,SIVB,0.1623,0.4269999999999999,522240,1.82549,24568305664.0
168,AGBA,0.0100999999999999,0.4269,0,0.047228,57045488.0
169,ATVCU,0.0124999999999999,0.1626,2010,,
170,NIU,0.0754,0.344,854070,0.861766,555282048.0
171,WAFU,0.0004,0.0024,10650,0.748755,10434188.0
172,GRAY,0.0282999999999999,0.5167999999999999,1767440,,25157126.0
173,FFNW,0.1222999999999999,0.332,9090,,145217296.0
174,CLPS,0.0002,0.0106,15550,2.815139,31825246.0
175,GPRO,0.1468999999999999,0.4725999999999999,2838540,1.15049,867337728.0
176,GNUS,0.0923,0.1893,5154220,1.818627,217945056.0
177,EQNR,0.0016,0.0464,3148770,0.70497,109764755456.0
178,IDYA,0.2342,0.5739000000000001,285030,1.785657,594013376.0
179,VAPO,0.1649,0.9505,509770,-1.06949,64920776.0
180,CCU,0.0649,0.16,365360,0.392365,2263199744.0
181,MLKN,0.2004,0.5231,665290,1.202941,2091351424.0
182,PBAX,0.0273,0.382,20510,,230271632.0
183,AVTR,0.1499999999999999,0.4884999999999999,4086960,1.620993,19142918144.0
184,ZNTL,0.4097999999999999,1.3605000000000005,786100,2.283609,1347385600.0
185,TCBS,0.0023,0.0303,1230,,49440076.0
186,BBAI,0.0001,0.0817,131230,,500238560.0
